,"总股本
[单位] 亿股",
时间,基本面50,上证50
2011-8-24,21513.8895,17526.602
2011-8-25,21513.8895,17526.602
2011-8-26,21513.8895,17526.602
2011-8-29,21513.8895,17526.602
2011-8-30,21513.8895,17526.602
2011-8-31,21513.8895,17526.602
2011-9-1,21513.8895,17526.602
2011-9-2,21513.8895,17526.602
2011-9-5,21513.8895,17526.602
2011-9-6,21513.8895,17526.602
2011-9-7,21513.8895,17526.602
2011-9-8,21513.8895,17526.602
2011-9-9,21513.8895,17526.602
2011-9-13,21513.8895,17526.602
2011-9-14,21513.8895,17526.602
2011-9-15,21513.8895,17526.602
2011-9-16,21513.8895,17526.602
2011-9-19,21513.8895,17526.602
2011-9-20,21513.8895,17526.602
2011-9-21,21513.8895,17526.602
2011-9-22,21513.8895,17526.602
2011-9-23,21513.8895,17526.602
2011-9-26,21513.8895,17526.602
2011-9-27,21513.8895,17526.602
2011-9-28,21513.8895,17526.602
2011-9-29,21513.8895,17526.602
2011-9-30,21513.8895,17526.602
2011-10-10,21523.8425,17536.555
2011-10-11,21523.8435,17536.5561
2011-10-12,21523.8435,17536.5561
2011-10-13,21523.8435,17536.5561
2011-10-14,21523.8435,17536.5561
2011-10-17,21523.8435,17536.5561
2011-10-18,21523.8435,17536.5561
2011-10-19,21523.8435,17536.5561
2011-10-20,21523.8435,17536.5561
2011-10-21,21523.8435,17536.5561
2011-10-24,21523.8435,17536.5561
2011-10-25,21523.8435,17536.5561
2011-10-26,21523.8435,17536.5561
2011-10-27,21523.8435,17536.5561
2011-10-28,21523.8435,17536.5561
2011-10-31,21523.8435,17536.5561
2011-11-1,21524.6026,17592.319
2011-11-2,21524.6026,17592.319
2011-11-3,21524.6026,17592.319
2011-11-4,21524.6026,17592.319
2011-11-7,21524.6026,17592.319
2011-11-8,21524.6026,17592.319
2011-11-9,21524.6026,17592.319
2011-11-10,21524.6026,17592.319
2011-11-11,21524.6026,17592.319
2011-11-14,21524.6026,17592.319
2011-11-15,21524.6026,17592.319
2011-11-16,21524.6026,17592.319
2011-11-17,21524.6026,17592.319
2011-11-18,21524.6026,17592.319
2011-11-21,21524.6026,17592.319
2011-11-22,21524.6026,17592.319
2011-11-23,21524.6026,17592.319
2011-11-24,21524.6026,17592.319
2011-11-25,21524.6026,17592.319
2011-11-28,21524.6026,17592.319
2011-11-29,21524.6026,17592.319
2011-11-30,21524.6026,17592.319
2011-12-1,21524.6026,17592.319
2011-12-2,21562.0208,17592.319
2011-12-5,21562.0208,17592.319
2011-12-6,21562.0208,17592.319
2011-12-7,21562.0208,17592.319
2011-12-8,21562.0208,17592.319
2011-12-9,21562.0208,17592.319
2011-12-12,21562.0208,17592.319
2011-12-13,21562.0208,17592.319
2011-12-14,21562.0208,17592.319
2011-12-15,21562.0208,17592.319
2011-12-16,21562.0208,17592.319
2011-12-19,21562.0208,17592.319
2011-12-20,21562.0208,17592.319
2011-12-21,21562.0208,17592.319
2011-12-22,21562.0208,17592.319
2011-12-23,21562.0208,17592.319
2011-12-26,21562.0208,17592.319
2011-12-27,21562.0208,17592.319
2011-12-28,21562.0208,17592.319
2011-12-29,21562.0208,17592.319
2011-12-30,21579.8523,17610.1505
2012-1-4,21579.8523,14931.7091
